Name
1527c705-839a-4832-9118-54d4Bd6a0c89
AppUp.IntelGraphicsExperience
AppUp.ThunderboltControlCenter
c5e2524a-ea46-4f67-841f-6a9465d9d515
E2A4F912-2574-4A75-9BB0-0D023378592B
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE
Microsoft.549981C3F5F10
Microsoft.AAD.BrokerPlugin
Microsoft.AccountsControl
Microsoft.AsyncTextService
Microsoft.BioEnrollment
Microsoft.CredDialogHost
Microsoft.DesktopAppInstaller
Microsoft.ECApp
Microsoft.HEIFImageExtension
Microsoft.LanguageExperiencePackja-JP
Microsoft.LockApp
Microsoft.MicrosoftEdge
Microsoft.MicrosoftEdge.Stable
Microsoft.MicrosoftEdgeDevToolsClient
Microsoft.NET.Native.Framework.2.1
Microsoft.NET.Native.Framework.2.1
Microsoft.NET.Native.Framework.2.2
Microsoft.NET.Native.Framework.2.2
Microsoft.NET.Native.Runtime.2.1
Microsoft.NET.Native.Runtime.2.1
Microsoft.NET.Native.Runtime.2.2
Microsoft.NET.Native.Runtime.2.2
Microsoft.OneDriveSync
Microsoft.Paint
Microsoft.PowerAutomateDesktop
Microsoft.PowerShell
Microsoft.ScreenSketch
Microsoft.SecHealthUI
Microsoft.StorePurchaseApp
Microsoft.Todos
Microsoft.UI.Xaml.2.3
Microsoft.UI.Xaml.2.3
Microsoft.UI.Xaml.2.4
Microsoft.UI.Xaml.2.4
Microsoft.UI.Xaml.2.7
Microsoft.UI.Xaml.2.7
Microsoft.UI.Xaml.CBS
Microsoft.VCLibs.140.00
Microsoft.VCLibs.140.00
Microsoft.VCLibs.140.00.UWPDesktop
Microsoft.VCLibs.140.00.UWPDesktop
Microsoft.VP9VideoExtensions
Microsoft.WebpImageExtension
Microsoft.Win32WebViewHost
Microsoft.Windows.Apprep.ChxApp
Microsoft.Windows.CallingShellApp
Microsoft.Windows.CapturePicker
Microsoft.Windows.CloudExperienceHost
Microsoft.Windows.ContentDeliveryManager
Microsoft.Windows.NarratorQuickStart
Microsoft.Windows.OOBENetworkCaptivePortal
Microsoft.Windows.OOBENetworkConnectionFlow
Microsoft.Windows.ParentalControls
Microsoft.Windows.PeopleExperienceHost
Microsoft.Windows.Photos
Microsoft.Windows.PinningConfirmationDialog
Microsoft.Windows.ShellExperienceHost
Microsoft.Windows.StartMenuExperienceHost
Microsoft.Windows.XGpuEjectDialog
Microsoft.WindowsCalculator
Microsoft.WindowsNotepad
Microsoft.WindowsStore
Microsoft.WindowsTerminal
Microsoft.XboxGameCallableUI
MicrosoftWindows.Client.CBS
MicrosoftWindows.Client.WebExperience
MicrosoftWindows.UndockedDevKit
NcsiUwpApp
NVIDIACorp.NVIDIAControlPanel
RealtekSemiconductorCorp.RealtekAudioControl
RivetNetworks.KillerControlCenter
Windows.CBSPreview
windows.immersivecontrolpanel
Windows.PrintDialog
